Case Created On,Status,Agent,Title,Origin,Is Escalated,Subject,CSAT Label,Resolution Minutes,Severity,Is SLA Violation,CSAT,SLA Compliance Goal,Resolution Minutes Goal,CSAT Goal,Escalations Goal,Minutes to First Contact,Activities,Topic,CaseSeq,SystemUserSeq,AccountSeq,ProductSeq
4/27/2021,Closed,Spencer Low,Focused content-based access,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2571,7,1244,8
4/27/2021,Closed,Sanjay Shah,Team-oriented actuating core,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2606,8,1108,8
4/23/2021,Closed,Anne Weiler,Pre-emptive full-range definition,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2751,12,1152,8
4/23/2021,Closed,Molly Clark,De-engineered empowering website,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2770,1,1226,8
4/21/2021,Closed,Spencer Low,Upgradable tertiary function,Chat,FALSE,General,5-Very Satisfied,76,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2887,7,1007,8
4/21/2021,Closed,Greg Winston,Team-oriented radical task-force,Chat,FALSE,General,5-Very Satisfied,65,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2901,13,1033,8
4/20/2021,Closed,Molly Clark,Exclusive scalable encoding,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2994,1,1008,8
4/20/2021,Closed,Greg Winston,User-centric heuristic framework,Chat,FALSE,General,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3008,13,1028,8
4/19/2021,Closed,Anne Weiler,De-engineered scalable alliance,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3077,12,1282,8
4/15/2021,Closed,Anne Weiler,Configurable multimedia software,Chat,FALSE,General,5-Very Satisfied,70,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3243,12,1190,8
4/14/2021,Closed,Molly Clark,Down-sized explicit flexibility,Chat,FALSE,General,5-Very Satisfied,79,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3298,1,1004,8
4/14/2021,Closed,Spencer Low,Universal interactive moderator,Chat,FALSE,General,5-Very Satisfied,76,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3301,7,1007,8
4/13/2021,Closed,Anne Weiler,Versatile tertiary contingency,Chat,FALSE,General,5-Very Satisfied,76,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3381,12,1199,8
4/7/2021,Closed,Alan Steiner,Vision-oriented tertiary structure,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3707,10,1250,8
4/6/2021,Closed,Sanjay Shah,Triple-buffered systemic forecast,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3788,8,1194,8
4/5/2021,Closed,Spencer Low,Managed radical Graphic Interface,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,3831,7,1244,8
3/31/2021,Closed,Molly Clark,Intuitive reciprocal software,Chat,FALSE,General,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4086,1,1291,8
3/31/2021,Closed,Julian Isla,Intuitive composite task-force,Chat,FALSE,General,5-Very Satisfied,76,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4107,4,1087,8
3/30/2021,Closed,Alan Steiner,Operative motivating encoding,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4218,10,1095,8
3/29/2021,Closed,Greg Winston,Re-engineered empowering array,Chat,FALSE,General,5-Very Satisfied,65,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4259,13,1061,8
3/26/2021,Closed,Julian Isla,Switchable optimizing toolset,Chat,FALSE,General,5-Very Satisfied,74,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4380,4,1278,8
3/25/2021,Closed,Anne Weiler,Integrated dedicated ability,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4439,12,1172,8
3/24/2021,Closed,Molly Clark,Monitored tangible firmware,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4510,1,1202,8
3/23/2021,Closed,Anne Weiler,Reactive transitional algorithm,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4585,12,1065,8
3/22/2021,Closed,Eric Gruber,Automated system-worthy protocol,Chat,FALSE,General,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4678,2,1204,8
3/16/2021,Closed,Anne Weiler,Seamless analyzing system engine,Chat,FALSE,General,5-Very Satisfied,76,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,4992,12,1199,8
3/12/2021,Closed,Eric Gruber,Vision-oriented tertiary structure,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,5142,2,1000,8
3/12/2021,Closed,Eric Gruber,Customizable maximized firmware,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,5157,2,1015,8
3/11/2021,Closed,Spencer Low,Visionary zero tolerance intranet,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,5222,7,1185,8
3/10/2021,Closed,Alan Steiner,Implemented 24 hour knowledge base,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,5324,10,1279,8
3/4/2021,Closed,Greg Winston,Stand-alone modular system engine,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,5627,13,1073,8
3/3/2021,Closed,Greg Winston,Object-based empowering algorithm,Chat,FALSE,General,5-Very Satisfied,69,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,5680,13,1016,8
2/24/2021,Closed,Sanjay Shah,Self-enabling secondary capacity,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,6088,8,1274,8
2/23/2021,Closed,Spencer Low,Expanded bottom-line flexibility,Chat,FALSE,General,5-Very Satisfied,74,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,6162,7,1002,8
2/19/2021,Closed,Greg Winston,Balanced upward-trending support,Chat,FALSE,General,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,6352,13,1028,8
2/19/2021,Closed,Anne Weiler,Pre-emptive full-range definition,Chat,FALSE,General,5-Very Satisfied,70,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,6366,12,1151,8
2/19/2021,Closed,Molly Clark,Re-engineered empowering array,Chat,FALSE,General,5-Very Satisfied,79,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,6385,1,1004,8
2/9/2021,Closed,Molly Clark,Sharable zero defect moratorium,Chat,FALSE,General,5-Very Satisfied,79,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,7010,1,1283,8
1/25/2021,Closed,Spencer Low,Distributed asymmetric project,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,7857,7,1092,8
1/25/2021,Closed,Alan Steiner,Reverse-engineered local access,Chat,FALSE,General,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,7866,10,1236,8
1/25/2021,Closed,Greg Winston,Future-proofed optimizing encoding,Chat,FALSE,General,5-Very Satisfied,69,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,7884,13,1016,8
1/22/2021,Closed,Eric Gruber,Multi-lateral holistic interface,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,7960,2,1162,8
1/20/2021,Closed,Alan Steiner,Intuitive reciprocal software,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,8100,10,1249,8
1/18/2021,Closed,Anne Weiler,Re-engineered empowering array,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,8273,12,1174,8
1/15/2021,Closed,Alan Steiner,Implemented 24 hour knowledge base,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,8368,10,1252,8
1/14/2021,Closed,Eric Gruber,Progressive disintermediate access,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,8429,2,1264,8
1/13/2021,Closed,Molly Clark,Reactive transitional algorithm,Chat,FALSE,General,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,8522,1,1214,8
1/8/2021,Closed,Anne Weiler,Visionary zero tolerance intranet,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,8729,12,1180,8
12/31/2020,Closed,Anne Weiler,Self-enabling tangible paradigm,Chat,FALSE,General,5-Very Satisfied,76,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9222,12,1199,8
12/31/2020,Closed,Anne Weiler,Automated discrete solution,Chat,FALSE,General,5-Very Satisfied,76,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9234,12,1199,8
12/30/2020,Closed,Molly Clark,Extended content-based access,Chat,FALSE,General,5-Very Satisfied,79,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9299,1,1283,8
12/30/2020,Closed,Alan Steiner,Triple-buffered systemic forecast,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9333,10,1209,8
12/29/2020,Closed,Anne Weiler,Organized zero administration hub,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9346,12,1046,8
12/29/2020,Closed,Greg Winston,Self-enabling scalable alliance,Chat,FALSE,General,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9370,13,1028,8
12/29/2020,Closed,Eric Gruber,Managed radical Graphic Interface,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9376,2,1265,8
12/29/2020,Closed,Eric Gruber,Future-proofed user-facing circuit,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9407,2,1117,8
12/25/2020,Closed,Spencer Low,Focused content-based access,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9522,7,1024,8
12/25/2020,Closed,Greg Winston,Synergized dynamic knowledge base,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9529,13,1068,8
12/24/2020,Closed,Greg Winston,Intuitive reciprocal software,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9631,13,1036,8
12/22/2020,Closed,Greg Winston,Re-engineered empowering array,Chat,FALSE,General,5-Very Satisfied,65,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,9804,13,1010,8
12/16/2020,Closed,Molly Clark,Visionary transitional project,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10082,1,1008,8
12/16/2020,Closed,Alan Steiner,Automated transitional toolset,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10085,10,1249,8
12/16/2020,Closed,Eric Gruber,Automated responsive framework,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10109,2,1026,8
12/15/2020,Closed,Greg Winston,Configurable optimizing concept,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10158,13,1034,8
12/15/2020,Closed,Anne Weiler,Customer-focused mobile benchmark,Chat,FALSE,General,5-Very Satisfied,70,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10183,12,1156,8
12/14/2020,Closed,Sanjay Shah,Distributed even-keeled throughput,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10218,8,1108,8
12/14/2020,Closed,Eric Gruber,Triple-buffered systemic forecast,Chat,FALSE,General,5-Very Satisfied,69,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10225,2,1023,8
12/14/2020,Closed,Sanjay Shah,Multi-lateral multimedia leverage,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10261,8,1274,8
12/11/2020,Closed,Greg Winston,Organized zero administration hub,Chat,FALSE,General,5-Very Satisfied,65,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10315,13,1033,8
12/7/2020,Closed,Eric Gruber,Future-proofed user-facing circuit,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10657,2,1015,8
12/4/2020,Closed,Sanjay Shah,Pre-emptive full-range definition,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10751,8,1109,8
12/3/2020,Closed,Molly Clark,De-engineered empowering website,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,10770,1,1008,8
5/25/2021,Open,Molly Clark,Adaptive executive task-force,Chat,FALSE,General,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | General,1006,1,1006,3
5/24/2021,Closed,Molly Clark,Robust real-time hardware,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Webcams | General,1073,1,1235,4
5/24/2021,Closed,Anne Weiler,Automated systemic analyzer,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | General,1093,12,1142,9
5/20/2021,Closed,Molly Clark,Total directional encoding,Chat,FALSE,General,5-Very Satisfied,87,Normal,TRUE,5,90%,120,3.75,20%,6,1,Webcams | General,1206,1,1006,4
5/18/2021,Closed,Anne Weiler,Adaptive national neural-net,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,1399,12,1059,6
5/7/2021,Closed,Anne Weiler,Advanced zero defect ability,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,1947,12,1187,6
4/28/2021,Closed,Anne Weiler,Adaptive holistic adapter,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | General,2499,12,1090,9
4/20/2021,Closed,Molly Clark,Total composite function,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Webcams | General,2990,1,1004,4
4/19/2021,Closed,Spencer Low,Integrated hybrid success,Chat,FALSE,General,5-Very Satisfied,87,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,3087,7,1007,6
4/5/2021,Closed,Julian Isla,Adaptive methodical strategy,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,3856,4,1278,6
3/31/2021,Closed,Molly Clark,Inverse human-resource hub,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,4082,1,1004,2
3/30/2021,Closed,Molly Clark,Mandatory executive strategy,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,4170,1,1088,2
3/24/2021,Closed,Molly Clark,Devolved heuristic product,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,4486,1,1004,2
3/23/2021,Closed,Molly Clark,Versatile methodical product,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,4618,1,1233,2
3/22/2021,Closed,Molly Clark,Programmable global function,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Stand-up Desks | General,4658,1,1105,10
3/19/2021,Closed,Molly Clark,Ameliorated hybrid algorithm,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,4766,1,1232,2
3/15/2021,Closed,Molly Clark,Networked tertiary forecast,Chat,FALSE,General,5-Very Satisfied,87,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,5071,1,1182,2
2/24/2021,Closed,Molly Clark,Diverse dynamic encryption,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Webcams | General,6124,1,1004,4
1/28/2021,Closed,Spencer Low,Expanded empowering leverage,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,7652,7,1002,6
1/26/2021,Closed,Julian Isla,Adaptive holistic adapter,Chat,FALSE,General,5-Very Satisfied,85,Normal,TRUE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | General,7794,4,1278,9
1/19/2021,Closed,Anne Weiler,Re-engineered mobile adapter,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,8159,12,1150,6
1/18/2021,Closed,Molly Clark,Integrated multimedia model,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Webcams | General,8230,1,1105,4
1/18/2021,Closed,Julian Isla,Stand-alone mobile adapter,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,8261,4,1247,6
12/29/2020,Closed,Molly Clark,Digitized multi-state hub,Chat,FALSE,General,5-Very Satisfied,87,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,9366,1,1006,2
12/29/2020,Closed,Molly Clark,Organic homogeneous leverage,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,9402,1,1070,2
12/25/2020,Closed,Molly Clark,Ergonomic optimizing project,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,9539,1,1127,2
12/24/2020,Closed,Molly Clark,Compatible static projection,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Design app | General,9648,1,1291,2
12/24/2020,Closed,Spencer Low,Sharable coherent groupware,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,9656,7,1185,6
12/23/2020,Closed,Anne Weiler,Re-engineered mobile adapter,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Desktops | General,9690,12,1046,6
12/22/2020,Closed,Molly Clark,Integrated multimedia model,Chat,FALSE,General,5-Very Satisfied,83,Normal,TRUE,5,90%,120,3.75,20%,6,1,Webcams | General,9761,1,1105,4
5/25/2021,Closed,Greg Winston,Reduced real-time capacity,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | General,1022,13,1028,3
5/21/2021,Closed,Sanjay Shah,Right-sized mobile task-force,Chat,FALSE,General,5-Very Satisfied,61,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | General,1158,8,1257,3
5/20/2021,Closed,Greg Winston,Intuitive static pricing structure,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | General,1210,13,1022,1
5/20/2021,Closed,Greg Winston,Visionary reciprocal strategy,Chat,FALSE,General,5-Very Satisfied,63,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | General,1216,13,1036,3
5/20/2021,Closed,Greg Winston,Grass-roots hybrid application,Chat,FALSE,General,5-Very Satisfied,73,Normal,FALSE,5,90%,120,3.75,20%,6,1,Webcams | General,1240,13,1022,4
5/20/2021,Closed,Sanjay Shah,Intuitive uniform installation,Chat,FALSE,General,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,Webcams | General,1245,8,1149,4
5/20/2021,Closed,Eric Gruber,Integrated executive task-force,Chat,FALSE,General,5-Very Satisfied,65,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | General,1249,2,1023,3
5/20/2021,Closed,Spencer Low,Programmable systematic access,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | General,1250,7,1024,1
5/20/2021,Closed,Anne Weiler,Distributed zero defect ability,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | General,1256,12,1282,1
5/20/2021,Closed,Greg Winston,Open-source composite benchmark,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | General,1258,13,1068,1
5/20/2021,Closed,Greg Winston,User-centric 24 hour access,Chat,FALSE,General,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,Design app | General,1266,13,1033,2
5/19/2021,Closed,Greg Winston,Right-sized reciprocal toolset,Chat,FALSE,General,5-Very Satisfied,61,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | General,1309,13,1010,3
5/19/2021,Closed,Eric Gruber,Organic even-keeled moderator,Chat,FALSE,General,5-Very Satisfied,73,Normal,FALSE,5,90%,120,3.75,20%,6,1,Design app | General,1314,2,1000,2
